restaurant_name,restaurant_rating,restaurant_review_count,restaurant_price,restaurant_cuisine,restaurant_promotion,restaurant_booked_times,restaurant_remaining_timeslots,restaurant_special_offers
The Canon - Bath,4.5,(1),$$$$,• Pub • Bath,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
KOKO,5.0,(11),$$$$,• Cocktail Bar • Tetbury,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Henry's Cafe Bar Cardiff,3.600000000000001,(24),$$$$,• Gastro Pub • Cardiff,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Amore Italian Restaurant - Hungerford,4.8,(488),$$$$,• Italian • Hungerford,Promoted,Booked 11 times today,Booked 11 times today,British Icons Set Menu
Nant Ddu Lodge,4.3,(212),$$$$,• British • Merthyr Tydfil,Promoted,Booked 6 times today,Booked 6 times today,British Icons Set Menu
The Bay Restaurant,4.262146892655368,(0),$$$$,• Modern European • Cardiff,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Macready's,4.4,(19),$$$$,• British • Sherborne,Promoted,Booked 11 times today Top experience,Booked 11 times today Top experience,Dinner
Pen & Wig Cardiff,4.5,(17),$$$$,• British • Cardiff,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Afternoon Tea at Ellenborough Park,4.6,(9),$$$$,• Afternoon Tea • Cheltenham,Promoted,Booked 4 times today You're in luck! We still have 2 timeslots left,Booked 4 times today You're in luck! We still have 2 timeslots left,British Icons Set Menu
Masons Arms,4.6,(118),$$$$,• Pub • Bath,Promoted,Booked 1 time today You're in luck! We still have 2 timeslots left,Booked 1 time today You're in luck! We still have 2 timeslots left,British Icons Set Menu
Côte Brasserie - Cirencester,4.3,(78),$$$$,• French • Cirencester,Promoted,Booked 23 times today,Booked 23 times today,British Icons Set Menu
The Foxham,4.7,(477),$$$$,• Gastro Pub • Chippenham,Promoted,Booked 4 times today,Booked 4 times today,British Icons Set Menu
Court Brasserie at Stonehouse Court,3.9,(274),$$$$,• British • Stroud,Promoted,Booked 2 times today You're in luck! We still have 4 timeslots left Top experience,Booked 2 times today You're in luck! We still have 4 timeslots left Top experience,Court Brasserie
Royal Oak Winsford Limited,4.8,(66),$$$$,• British • Winsford,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
Téatro,4.1,(846),$$$$,• British • Cirencester,Promoted,Booked 6 times today Top experience,Booked 6 times today Top experience,Pre-Theatre Dining
Spice Village,4.7,(1),$$$$,• Indian • Cardiff,Promoted,Booked 1 time today,Booked 1 time today,British Icons Set Menu
